id,label,parent,label.en_US,label.de_CH,label.fr_FR,label.it_IT,enabled,type,attributes,attribute_as_label,attribute_as_image,attribute_requirements.ecommerce,Duplicate
,ski,AmenityFeature,Ski,Ski,Ski,Sci,0,additinalTypes,,,,,
,sustainability,AmenityFeature,Sustainability,Nachhaltigkeit,Durabilité,Sostenibilità,0,additinalTypes,,,,,
,wellness,AmenityFeature,Wellness services,Wellness-Dienstleistungen,Services de bien-être,Servizi benessere,0,additinalTypes,,,,,
,AccommodationFeature,AmenityFeature,Accommodation feature,Zimmerausstattungsmerkmal,Caractéristique d'hébergement,Caratteristica dell'alloggio,0,additinalTypes,,,,,
,bathroom,AmenityFeature,Bathroom,Badezimmer,Salle de Bains,Stanza da bagno,0,additinalTypes,,,,,
,bed,AmenityFeature,Bedtype,Bettentyp,Type de lit,Tipo di letto,0,additinalTypes,,,,,
,family,AmenityFeature,Family services,Dienstleistungen für Familien,Services à la famille,Servizi per famiglie,0,additinalTypes,,,,,
,furnishing,AmenityFeature,Furnishing,Ausstattung,Meublant,Arredamento,0,additinalTypes,,,,,
,building,AmenityFeature,Building,Gebäude,Bâtiment,Edificio,0,additinalTypes,,,,,
,media,AmenityFeature,Media,Medien,Média,Media,0,additinalTypes,,,,,
,view,AmenityFeature,Outdoor and view,Aussenbereich und Aussicht,Extérieur et vue,All'aperto e vista,0,additinalTypes,,,,,
,PlaceFeature,AmenityFeature,Place feature,Platzausstattungsmerkmal,Caractéristique du lieu,Caratteristica del luogo,0,additinalTypes,,,,,
,pool,AmenityFeature,Swimming pool,Schwimmbad,Piscine,Piscina,0,additinalTypes,,,,,
,swimming,AmenityFeature,Swimming,Schwimmen,Natation,Nuoto,0,additinalTypes,,,,,
,transport,Tag,Transport,Verkehr,Verkehr,Verkehr,0,additinalTypes,,,,,
,Tag,,Tag,Tag,Tag,Tag,0,additinalTypes,,,,,
,campaign,Tag,Campaign,Kampagne,Kampagne,Kampagne,0,additinalTypes,,,,,
,content,Tag,Content,Inhalt,Inhalt,Inhalt,0,additinalTypes,,,,,
,accessibility,Tag,Accessibility,Zugang,Zugang,Zugang,0,additinalTypes,,,,,
,accesssitios,Tag,Accessibility information Sitios,Informationen zur Zugänglichkeit Sitios,Informationen zur Zugänglichkeit Sitios,Informationen zur Zugänglichkeit Sitios,0,additinalTypes,,,,,
,accesssitioshs,Tag,Accessibility information Sitios HotellerieSuisse,Informationen zur Zugänglichkeit Sitios HotellerieSuisse,Informationen zur Zugänglichkeit Sitios HotellerieSuisse,Informationen zur Zugänglichkeit Sitios HotellerieSuisse,0,additinalTypes,,,,,
,accomodation,Tag,Accomodation,Übernachten,Übernachten,Übernachten,0,additinalTypes,,,,,
,areascope,Tag,Area scope,Bereichsumfang,Bereichsumfang,Bereichsumfang,0,additinalTypes,,,,,
,atmosphere,Tag,Atmosphere,Stimmung,Stimmung,Stimmung,0,additinalTypes,,,,,
,audienceage,Tag,Audience age,Zielgruppe Altersbeschränkung,Zielgruppe Altersbeschränkung,Zielgruppe Altersbeschränkung,0,additinalTypes,,,,,
,audiencegroup,Tag,Audience group,Zielgruppe Hauptgruppe,Zielgruppe Hauptgruppe,Zielgruppe Hauptgruppe,0,additinalTypes,,,,,
,audienceinfo,Tag,Audience information,Zielgruppe zus. Information,Zielgruppe zus. Information,Zielgruppe zus. Information,0,additinalTypes,,,,,
,audienceinformationplaytime,Tag,Audience information playtime,Spielzeiten,Spielzeiten,Spielzeiten,0,additinalTypes,,,,,
,culinary,Tag,Culinary,Kulinarik,Kulinarik,Kulinarik,0,additinalTypes,,,,,
,dance,Tag,Dance,Tanz,Tanz,Tanz,0,additinalTypes,,,,,
,distance,Tag,Distance,Distanz,Distanz,Distanz,0,additinalTypes,,,,,
,duration,Tag,Duration,Ausflugsdauer,Ausflugsdauer,Ausflugsdauer,0,additinalTypes,,,,,
,genre,Tag,Genre,Sorte,Sorte,Sorte,0,additinalTypes,,,,,
,hiking,Tag,Hiking,Wandern,Wandern,Wandern,0,additinalTypes,,,,,
,incentive,Tag,Incentive,Anreiz,Anreiz,Anreiz,0,additinalTypes,,,,,
,languages,Tag,Languages,Sprachen,Sprachen,Sprachen,0,additinalTypes,,,,,
,life,Tag,Life,Leben,Leben,Leben,0,additinalTypes,,,,,
,literature,Tag,Literature,Literatur,Literatur,Literatur,0,additinalTypes,,,,,
,locatedat,Tag,Located,Gelegen,Gelegen,Gelegen,0,additinalTypes,,,,,
,market,Tag,Market type,Markt-Typ,Markt-Typ,Markt-Typ,0,additinalTypes,,,,,
,music,Tag,Music,Musik,Musik,Musik,0,additinalTypes,,,,,
,parking,Tag,Parking,Parkmöglichkeiten,Parkmöglichkeiten,Parkmöglichkeiten,0,additinalTypes,,,,,
,pricerange,Tag,Price range,Preisspanne,Preisspanne,Preisspanne,0,additinalTypes,,,,,
,proposed,Tag,Proposed,Empfohlen,Empfohlen,Empfohlen,0,additinalTypes,,,,,
,reduction,Tag,Reduction,Reduktionen-Rabatte,Reduktionen-Rabatte,Reduktionen-Rabatte,0,additinalTypes,,,,,
,region,Tag,Region,Region,Region,Region,0,additinalTypes,,,,,
,regionalcustoms,Tag,Regional customs,Brauchtum,Brauchtum,Brauchtum,0,additinalTypes,,,,,
,reservation,Tag,Reservation,Reservation,Reservation,Reservation,0,additinalTypes,,,,,
,schooldifficultylevel,Tag,School difficulty level,Schwierigkeitsgrad für Schüler,Schwierigkeitsgrad für Schüler,Schwierigkeitsgrad für Schüler,0,additinalTypes,,,,,
,schoollevel,Tag,School level,Schulniveau,Schulniveau,Schulniveau,0,additinalTypes,,,,,
,schooltripcategory,Tag,School trip category,Kategorie für Schulreisen,Kategorie für Schulreisen,Kategorie für Schulreisen,0,additinalTypes,,,,,
,seasonality,Tag,Seasonality,Saisonalität,Saisonalität,Saisonalität,0,additinalTypes,,,,,
,swissness,Tag,Swissness,Swissness,Swissness,Swissness,0,additinalTypes,,,,,
,tourismregion,Tag,Tourism region,Tourismusregion,Tourismusregion,Tourismusregion,0,additinalTypes,,,,,
,tourismzone,Tag,Tourism zone,Tourismuszone,Tourismuszone,Tourismuszone,0,additinalTypes,,,,,
,trail,Tag,Trail,Wanderrouten Eigenschaften,Wanderrouten Eigenschaften,Wanderrouten Eigenschaften,0,additinalTypes,,,,,
,weatherconditions,Tag,Weather conditions,Wetterverhältnisse,Wetterverhältnisse,Wetterverhältnisse,0,additinalTypes,,,,,
,weekdays,Tag,Weekdays,Wochentage,Wochentage,Wochentage,0,additinalTypes,,,,,
,image,Tag,Image,Image,Image,Image,0,additinalTypes,,,,,
,imageamenity,Tag,Image Amenity,Bild Zimmerausstattung,Bild Zimmerausstattung,Bild Zimmerausstattung,0,additinalTypes,,,,,
,imageentertainment,Tag,Image Entertainment,Bild Unterhaltung,Bild Unterhaltung,Bild Unterhaltung,0,additinalTypes,,,,,
,imageevent,Tag,Image Event,Bild Veranstaltungen,Bild Veranstaltungen,Bild Veranstaltungen,0,additinalTypes,,,,,
,imagefood,Tag,Image Food,Bild Verpflegung,Bild Verpflegung,Bild Verpflegung,0,additinalTypes,,,,,
,imageindoor,Tag,Image Indoor,Bild Innenbereich,Bild Innenbereich,Bild Innenbereich,0,additinalTypes,,,,,
,imageoutdoor,Tag,Image Outdoor,Bild Aussenbereich,Bild Aussenbereich,Bild Aussenbereich,0,additinalTypes,,,,,
,imagesaisonality,Tag,Image Saisonality,Bild Saisonalität,Bild Saisonalität,Bild Saisonalität,0,additinalTypes,,,,,
,imagesport,Tag,Image Sport,Bild Sportaktivitäten,Bild Sportaktivitäten,Bild Sportaktivitäten,0,additinalTypes,,,,,
,imagewellness,Tag,Image wellness area,Bild Wellness Bereich,Bild Wellness Bereich,Bild Wellness Bereich,0,additinalTypes,,,,,
,profile,Tag,Profile,Profil,Profil,Profil,0,additinalTypes,,,,,
